"Country","ISO","Head of Government","HoG Since","Head of State","HoS Since"
"Brunei","BN","Hassanal Bolkiah","1984-01-01","Hassanal Bolkiah","1984-01-01"
"Cambodia","KH","Hun Manet","2023-08-22","Norodom Sihamoni","2004-10-29"
"Indonesia","ID","Prabowo Subianto","2024-10-20","Prabowo Subianto","2024-10-20"
"Laos","LA","Sonexay Siphandone","2022-12-30","Thongloun Sisoulith","2021-03-22"
"Malaysia","MY","Anwar Ibrahim","2022-11-24","",""
"Myanmar","MM","","","Min Aung Hlaing","2026-04-10"
"Philippines","PH","Bongbong Marcos","2022-06-30","Bongbong Marcos","2022-06-30"
"Singapore","SG","Lawrence Wong","2024-05-15","Tharman Shanmugaratnam","2023-09-14"
"Thailand","TH","Anutin Charnvirakul","2025-09-07","Vajiralongkorn","2016-10-13"
"Vietnam","VN","Lê Minh Hưng","2026-04-07","Tô Lâm","2026-04-07"