"Country","ISO","HoG Title","Head of Government","HoG Since","HoS Title","Head of State","HoS Since"
"Indonesia","ID","President","Prabowo Subianto","2024-10-20","President","Prabowo Subianto","2024-10-20"
"Argentina","AR","President","Javier Milei","2023-12-10","President","Javier Milei","2023-12-10"
"Australia","AU","Prime Minister","Anthony Albanese","2022-05-23","Monarch","Charles III","2022-09-08"
"Brazil","BR","President","Luiz Inácio Lula da Silva","2023-01-01","President","Luiz Inácio Lula da Silva","2023-01-01"
"Canada","CA","Prime Minister","Mark Carney","","Monarch","Charles III","2022-09-08"
"China","CN","Premier","Li Qiang","2023-03-11","President","Xi Jinping","2013-03-14"
"France","FR","Prime Minister","Sébastien Lecornu","2025-09-09","President","Emmanuel Macron","2017-05-14"
"Germany","DE","Chancellor","Friedrich Merz","2025-05-06","President","Frank-Walter Steinmeier","2017-03-19"
"India","IN","Prime Minister","Narendra Modi","2014-05-26","President","Droupadi Murmu","2022-07-25"
"Italy","IT","Prime Minister","Giorgia Meloni","2022-10-22","President","Sergio Mattarella","2015-02-03"
"Japan","JP","Prime Minister","Sanae Takaichi","2025-10-21","Emperor","Naruhito","2019-05-01"
"Mexico","MX","President","Claudia Sheinbaum","2024-10-01","President","Claudia Sheinbaum","2024-10-01"
"Russia","RU","Prime Minister","Mikhail Mishustin","2020-01-16","President","Vladimir Putin","2012-05-07"
"Saudi Arabia","SA","Prime Minister (King)","Mohammed bin Salman","2022-09-27","King","Mohammed bin Salman","2022-09-27"
"South Africa","ZA","President","Cyril Ramaphosa","2018-02-15","President","Cyril Ramaphosa","2018-02-15"
"South Korea","KR","President","Lee Jae Myung","2025-06-04","President","Lee Jae Myung","2025-06-04"
"Turkey","TR","President","Recep Tayyip Erdoğan","2014-08-28","President","Recep Tayyip Erdoğan","2014-08-28"
"United Kingdom","GB","Prime Minister","Andy Burnham","2026-07-20","Monarch","Charles III","2022-09-08"
"United States","US","President","Donald Trump","2025-01-20","President","Donald Trump","2025-01-20"
"European Union","EU","President of the European Commission","Ursula von der Leyen","2019-12-01","President of the European Council","António Costa","2024-12-01"
"African Union","AU_AF","Chairperson of the African Union Commission","Mahamoud Ali Youssouf","2025-03-13","Chairperson of the African Union","Évariste Ndayishimiye","2026-02-14"